MIS_NO,MIS_DT,MIS_TYP,PO_NO,ITM_CD,GDN_CD,CHAL_QTY,VENDUQ_QTY,VEND_UQ,VEND_CD,REC_QTY,CHAL_NO,CHAL_DT,RECT_VAL,ACT_QTY,DEV_QTY,RFR_QTY,REJ_QTY,SHT_QTY,TST_QTY,CS_QTY,QLT_RTG,DEL_RTG,MTL_FLG,VAL_FLG,VAL_MTL,INSP_AUTH,INSP_DT,WHAR_DEM,FREIGHT,MC_NT_NO,MC_NT_DT,STAT_CD,MVD_QTY,RV_NO,RV_DT,KOD,COST_CL,PSA_CD,BPLN_NO,DISCOUNT,IGP_NO,BOC_ITM_CD,CON_FACT,WGT,NO_PACKS,PREV_MIS,COMM,COMM1,REMARK,INOTE_NO,REMARK1,QR_QTY,REJ_REASON1,REJ_REASON2,REJ_REASON3,RV_FWD_DT,RV_FWD_TRANS,RV_FWD_SEC,TMP_ACT,STATE_UP,GSTIN_NO,HSN_CD,COMP_SCHEME,GST_EXEMPT,UNIT_RT,CGST_PCT,CGST_AMT,SGST_PCT,SGST_AMT,IGST_PCT,IGST_AMT,MFD_MTH,MFD_YR
20240003,2024/01/04,M,20230587,9911037545,,1900,1900,,O000921030,1900,139,2024/01/04,171000,1900,0,0,0,0,0,0,35,30,0,0,0,GM OPF,2024/01/06,0,0,,,2,1900,S20240264,2024/04/06,5,,5,118,0,20240001,9911037545,1,,19,,,,,202400166,N,0,,,,2024/06/06,20240032,6,0,N,05GUQPS0887F1ZZ,8535,N,N,76.27,0,0,0,0,18,26084.75,,
20240004,2024/01/04,M,20230586,9911037544,,1500,1500,,O000921030,1500,140,2024/01/04,247500,1500,0,0,0,0,0,0,35,30,0,0,0,GM OPF,2024/01/06,0,0,,,2,1500,S20240263,2024/04/06,5,,5,203,0,20240002,9911037544,1,,50,,,,,202400167,N,0,,,,2024/06/06,20240032,6,0,N,05GUQPS0887F1ZZ,8535,N,N,139.83,0,0,0,0,18,37754.24,,
20240005,2024/01/04,M,20230567,9911038882,,11,11,,S000921012,11,Feb-25,2024/01/04,1055439,11,0,0,0,0,0,0,35,30,0,0,0,GM OPF,2024/09/05,0,0,,,2,11,S20240180,2024/21/05,5,,5,101,0,20240003,9911038882,1,,11,,,,,202400071,N,0,,,,2024/24/05,20240019,6,0,Y,09ABZPP7871J1ZF,8471,N,N,81312.71,9,80499.58,9,80499.58,0,0,,
20240006,2024/02/04,M,20230077,2110025022,,35,35,,N004821040,35,24-25/003,2024/02/04,83020,35,0,0,0,0,1,0,35,15,0,0,0,GM OPF,2024/25/05,0,0,,,2,35,S20240325,2024/21/06,5,,5,1714,0,20240004,2110025022,1,,35,,,,,202400131,N,,,,,,,,0,Y,09AAHFN2396R1ZC,8804,N,N,2372,9,7471.8,9,7471.8,0,0,4,2024
20240007,2024/03/04,M,20230399,2103784280,,1540,1540,,S009925009,1540,2,2024/03/04,135199.4501,1507,0,33,0,0,42,0,34.25,2.46,0,0,0,GM OPF,2024/01/05,0,0,,,2,1507,S20240114,2024/09/05,,,5,118,0,20240005,2103784280,1,,1,,,,,202400046,N,0,,,,2024/10/05,20240010,6,0,Y,09ADWPK1340G1ZE,5806,N,N,89.7143,2.5,3454,2.5,3454,0,0,3,2024
20240008,2024/03/04,M,20230298,2101877343,,160,160,,S009925009,160,1,2024/03/04,7740.5796,156,0,4,0,0,12,0,34.13,11.74,0,0,0,GM OPF,2024/29/04,0,0,,,2,156,S20240106,2024/08/05,,,5,1003,0,20240006,2101877343,1,,1,,,,,202400036,N,0,,,,2024/10/05,20240010,6,0,Y,09ADWPK1340G1ZE,5806,N,N,49.6191,2.5,198.48,2.5,198.48,0,0,3,2024
20240009,2024/03/04,M,20230464,2101221293,,7312,7312,,U000915008,7312,2,2024/03/04,914441.1135,7167,0,145,0,0,24,0,34.31,27,0,0,0,GM OPF,2024/23/05,0,0,,,2,7167,S20240280,2024/13/06,,,5,621,0,20240008,2101221293,1,,52,,,,,202400118,N,0,,,,2024/24/06,20240039,6,0,Y,09AAACU8912A1ZJ,5209,N,N,127.59,2.5,23323.45,2.5,23323.45,0,0,3,2024
20240052,2024/03/04,M,20230252,1001729501,,500,500,,G004732001,500,2177,2024/03/04,48000,500,0,0,0,0,0,0,35,9,0,0,0,GM OPF,2024/15/06,0,0,,,2,500,S20240306,2024/20/06,,,5,4202,0,20240007,1001729501,1,,10,,,,,202400220,N,0,,,,2024/24/06,20240039,6,0,Y,09AAAFG6982H1Z3,0,N,N,94.39,0,0,0,0,0,0,,
20240010,2024/04/04,M,20230550,9911039049,,960,960,,R000921133,960,1,2024/04/04,57600,960,0,0,0,0,0,0,35,30,0,0,0,"GM/OPF,KANPUR",2024/23/04,0,0,,,2,960,S20240100,2024/07/05,,,5,101,0,20240009,9911039049,1,,30,,,,,202400019,N,0,,,,2024/10/05,20240010,6,0,Y,09ANEPA8860F1Z0,4911,N,N,60,9,5184,9,5184,0,0,,
20240011,2024/04/04,M,20220099,2110071013,,60,60,,S000525000,60,4,2024/04/04,70200,60,0,0,0,0,1,0,35,0,0,0,0,GM OPF,2024/01/05,0,0,,,2,60,S20240125,2024/10/05,5,,5,820,0,20240010,2110071013,1,,1,,,,,202400045,N,0,,,,2024/15/05,20240011,6,0,Y,09AACCS0177M1Z1,8804,N,N,1170,9,6318,9,6318,0,0,4,2024
20240012,2024/04/04,M,20230346,2101221216,,2262,2262,,U000915008,2262,3,2024/04/04,374228.6338,2183,0,79,0,0,13,0,33.78,21,0,0,0,"GM/OPF,KANPUR",2024/26/04,0,0,,,2,2183,S20240074,2024/01/05,,,5,3219,0,20240011,2101221216,1,,11,,,,,202400027,N,0,,,,2024/06/05,20240008,6,0,Y,09AAACU8912A1ZJ,5513,N,N,171.429,2.5,9694.31,2.5,9694.31,0,0,3,2024
20240013,2024/05/04,M,20230338,2110071001,,105,105,,K006521097,105,995,2024/05/04,78477,101,0,0,4,0,1,0,33.67,6.14,0,0,0,GM OPF,2024/11/05,0,0,,,2,101,S20240183,2024/21/05,5,,5,2209,0,20240012,2110071001,1,,1,,,,,202400077,N,0,QTY 04.00 NOS. REJECTED DUE TO POOR FINISH.,,,2024/24/05,20240018,6,0,Y,09AACFK8758M2ZJ,8804,N,N,777,9,7342.65,9,7342.65,0,0,4,2024
20240014,2024/05/04,M,20230405,2101786992,,22410,22410,,M000421005,22410,M/00018,2024/05/04,228806.3794,22163,0,247,0,0,690,0,34.61,16.22,0,0,0,GM OPF,2024/27/04,0,0,,,2,22163,S20240072,2024/01/05,,,5,1012,0,20240013,2101786992,1,,12,,,,,202400031,N,,,,,2024/06/05,20240008,6,0,Y,09AAACM9362J1Z2,5806,N,N,10.3238,2.5,5783.91,2.5,5783.91,0,0,3,2024
20240015,2024/05/04,M,20230061,2101787010,,8726,8726,,M000421005,8726,M/00015,2024/05/04,129106.656,8640,0,86,0,0,315,0,34.66,8.38,0,0,0,GM OPF,2024/25/04,0,0,,,2,8640,S20240069,2024/29/04,,,5,602,0,20240014,2101787010,1,,5,,,,,202400023,N,,,,,2024/06/05,20240008,6,0,Y,09AAACM9362J1Z2,5806,N,N,14.9429,2.5,3259.79,2.5,3259.79,0,0,3,2024
20240016,2024/05/04,M,20230412,2101126374,,2180,2180,,M000421005,2180,M/00016,2024/05/04,55593.2982,1958,0,22,200,0,33,0,31.44,17.14,0,0,0,GM OPF,2024/23/05,0,0,,,2,1958,S20240283,2024/13/06,,,5,805,0,20240015,2101126374,1,,1,,,,,202400116,N,0,QTY 200.00 MTR REJECTED DUE TO BS OBSERVED NOT AS PER SPECIFICATION.,,,2024/24/06,20240039,6,0,Y,09AAACM9362J1Z2,5607,N,N,28.3929,6,3713.79,6,3713.79,0,0,3,2024
20240017,2024/06/04,M,20230403,2101797031,,22040,22040,,V004721006,22040,12,2024/06/04,122935.1396,21658,0,382,0,0,738,0,34.39,2.23,0,0,0,GM OPF,2024/03/05,0,0,,,2,21658,S20240112,2024/09/05,,,5,216,0,20240016,2101797031,1,,12,,,,,202400050,N,0,,,,2024/10/05,20240010,6,0,Y,09AABCV1571F1ZE,5806,N,N,5.68,2.5,3129.68,2.5,3129.68,0,0,4,2024
20240018,2024/06/04,M,20230406,2101797031,,60997,60997,,S009925009,60997,9,2024/06/04,340481.1808,59984,0,1013,0,0,1248,0,34.42,13.96,0,0,0,GM OPF,2024/15/05,0,0,,,2,59984,S20240176,2024/20/05,,,5,219,0,20240017,2101797031,1,,26,,,,,202400086,N,0,,,,2024/24/05,20240018,6,0,Y,09ADWPK1340G1ZE,5806,N,N,5.6762,2.5,8655.78,2.5,8655.78,0,0,3,2024
